Sex,Industry of Employment,Region,Value
Females,"Rental, Hiring and Real Estate Services",Docklands,87
Males,"Professional, Scientific and Technical Services",Docklands,897
Females,"Professional, Scientific and Technical Services",Docklands,453
Males,Administrative and Support Services,Docklands,92
Females,Administrative and Support Services,Docklands,107
Males,Public Administration and Safety,Docklands,132
Females,Public Administration and Safety,Docklands,116
Males,Education and Training,Docklands,122
Females,Education and Training,Docklands,172
Males,Health Care and Social Assistance,Docklands,113
Females,Health Care and Social Assistance,Docklands,238
Males,Arts and Recreation Services,Docklands,76
Females,Arts and Recreation Services,Docklands,48
Males,Other Services,Docklands,59
Females,Other Services,Docklands,74
Males,Inadequately described and not stated,Docklands,157
Females,Inadequately described and not stated,Docklands,102
Males,"Agriculture, Forestry and Fishing",East Melbourne,13
Females,"Agriculture, Forestry and Fishing",East Melbourne,3
Males,Mining,East Melbourne,6
Females,Mining,East Melbourne,4
Males,Manufacturing,East Melbourne,52
Females,Manufacturing,East Melbourne,44
Males,"Electricity, Gas, Water and Waste Services",East Melbourne,24
Females,"Electricity, Gas, Water and Waste Services",East Melbourne,12
Males,Construction,East Melbourne,58
Females,Construction,East Melbourne,27
Males,Wholesale Trade,East Melbourne,39
Females,Wholesale Trade,East Melbourne,25
Males,Retail Trade,East Melbourne,78
Females,Retail Trade,East Melbourne,106
Males,Accommodation and Food Services,East Melbourne,91
Females,Accommodation and Food Services,East Melbourne,79
Males,"Transport, Postal and Warehousing",East Melbourne,46
Females,"Transport, Postal and Warehousing",East Melbourne,28
Males,Information Media and Telecommunications,East Melbourne,57
Females,Information Media and Telecommunications,East Melbourne,42
Males,Financial and Insurance Services,East Melbourne,139
Females,Financial and Insurance Services,East Melbourne,104
Males,"Rental, Hiring and Real Estate Services",East Melbourne,34
Females,"Rental, Hiring and Real Estate Services",East Melbourne,17
Males,"Professional, Scientific and Technical Services",East Melbourne,341
Females,"Professional, Scientific and Technical Services",East Melbourne,263
Males,Administrative and Support Services,East Melbourne,47
Females,Administrative and Support Services,East Melbourne,41
Males,Public Administration and Safety,East Melbourne,76
Females,Public Administration and Safety,East Melbourne,114
Males,Education and Training,East Melbourne,107
Females,Education and Training,East Melbourne,174
Males,Health Care and Social Assistance,East Melbourne,168
Females,Health Care and Social Assistance,East Melbourne,278
Males,Arts and Recreation Services,East Melbourne,52
Females,Arts and Recreation Services,East Melbourne,50
Males,Other Services,East Melbourne,24
Females,Other Services,East Melbourne,45
Males,Inadequately described and not stated,East Melbourne,68
Females,Inadequately described and not stated,East Melbourne,52
Males,"Agriculture, Forestry and Fishing",Flemington Racecourse,0
