Sex,Industry of Employment,Region,Value
Males,Construction,Pascoe Vale,860
Females,Construction,Pascoe Vale,122
Males,Wholesale Trade,Pascoe Vale,220
Females,Wholesale Trade,Pascoe Vale,116
Males,Retail Trade,Pascoe Vale,457
Females,Retail Trade,Pascoe Vale,554
Males,Accommodation and Food Services,Pascoe Vale,393
Females,Accommodation and Food Services,Pascoe Vale,340
Males,"Transport, Postal and Warehousing",Pascoe Vale,508
Females,"Transport, Postal and Warehousing",Pascoe Vale,200
Males,Information Media and Telecommunications,Pascoe Vale,181
Females,Information Media and Telecommunications,Pascoe Vale,113
Males,Financial and Insurance Services,Pascoe Vale,300
Females,Financial and Insurance Services,Pascoe Vale,285
Males,"Rental, Hiring and Real Estate Services",Pascoe Vale,67
Females,"Rental, Hiring and Real Estate Services",Pascoe Vale,99
Males,"Professional, Scientific and Technical Services",Pascoe Vale,576
Females,"Professional, Scientific and Technical Services",Pascoe Vale,484
Males,Administrative and Support Services,Pascoe Vale,216
Females,Administrative and Support Services,Pascoe Vale,177
Males,Public Administration and Safety,Pascoe Vale,370
Females,Public Administration and Safety,Pascoe Vale,395
Males,Education and Training,Pascoe Vale,322
Females,Education and Training,Pascoe Vale,782
Males,Health Care and Social Assistance,Pascoe Vale,280
Females,Health Care and Social Assistance,Pascoe Vale,1064
Males,Arts and Recreation Services,Pascoe Vale,128
Females,Arts and Recreation Services,Pascoe Vale,118
Males,Other Services,Pascoe Vale,221
Females,Other Services,Pascoe Vale,162
Males,Inadequately described and not stated,Pascoe Vale,309
Females,Inadequately described and not stated,Pascoe Vale,164
Males,"Agriculture, Forestry and Fishing",Glenroy,19
Females,"Agriculture, Forestry and Fishing",Glenroy,6
Males,Mining,Glenroy,11
Females,Mining,Glenroy,4
Males,Manufacturing,Glenroy,452
Females,Manufacturing,Glenroy,181
Males,"Electricity, Gas, Water and Waste Services",Glenroy,64
Females,"Electricity, Gas, Water and Waste Services",Glenroy,26
Males,Construction,Glenroy,723
Females,Construction,Glenroy,61
Males,Wholesale Trade,Glenroy,157
Females,Wholesale Trade,Glenroy,81
Males,Retail Trade,Glenroy,423
Females,Retail Trade,Glenroy,438
Males,Accommodation and Food Services,Glenroy,510
Females,Accommodation and Food Services,Glenroy,389
Males,"Transport, Postal and Warehousing",Glenroy,564
Females,"Transport, Postal and Warehousing",Glenroy,114
Males,Information Media and Telecommunications,Glenroy,111
Females,Information Media and Telecommunications,Glenroy,60
Males,Financial and Insurance Services,Glenroy,164
Females,Financial and Insurance Services,Glenroy,231
Males,"Rental, Hiring and Real Estate Services",Glenroy,52
Females,"Rental, Hiring and Real Estate Services",Glenroy,58
Males,"Professional, Scientific and Technical Services",Glenroy,360
Females,"Professional, Scientific and Technical Services",Glenroy,249
Males,Administrative and Support Services,Glenroy,266
Females,Administrative and Support Services,Glenroy,207
Males,Public Administration and Safety,Glenroy,260
Females,Public Administration and Safety,Glenroy,235
Males,Education and Training,Glenroy,199
Females,Education and Training,Glenroy,446
Males,Health Care and Social Assistance,Glenroy,208
Females,Health Care and Social Assistance,Glenroy,873
Males,Arts and Recreation Services,Glenroy,83
Females,Arts and Recreation Services,Glenroy,65
Males,Other Services,Glenroy,242
Females,Other Services,Glenroy,124
Males,Inadequately described and not stated,Glenroy,340
Females,Inadequately described and not stated,Glenroy,184
Males,"Agriculture, Forestry and Fishing",Gowanbrae,0
Females,"Agriculture, Forestry and Fishing",Gowanbrae,0
Males,Mining,Gowanbrae,0
Females,Mining,Gowanbrae,0
Males,Manufacturing,Gowanbrae,68
Females,Manufacturing,Gowanbrae,33
Males,"Electricity, Gas, Water and Waste Services",Gowanbrae,3
Females,"Electricity, Gas, Water and Waste Services",Gowanbrae,5
Males,Construction,Gowanbrae,129
Females,Construction,Gowanbrae,13
Males,Wholesale Trade,Gowanbrae,41
Females,Wholesale Trade,Gowanbrae,26
Males,Retail Trade,Gowanbrae,52
Females,Retail Trade,Gowanbrae,74
Males,Accommodation and Food Services,Gowanbrae,42
Females,Accommodation and Food Services,Gowanbrae,40
Males,"Transport, Postal and Warehousing",Gowanbrae,85
Females,"Transport, Postal and Warehousing",Gowanbrae,47
Males,Information Media and Telecommunications,Gowanbrae,16
Females,Information Media and Telecommunications,Gowanbrae,9
Males,Financial and Insurance Services,Gowanbrae,37
Females,Financial and Insurance Services,Gowanbrae,39
Males,"Rental, Hiring and Real Estate Services",Gowanbrae,12
Females,"Rental, Hiring and Real Estate Services",Gowanbrae,11
Males,"Professional, Scientific and Technical Services",Gowanbrae,47
Females,"Professional, Scientific and Technical Services",Gowanbrae,52
Males,Administrative and Support Services,Gowanbrae,20
Females,Administrative and Support Services,Gowanbrae,27
Males,Public Administration and Safety,Gowanbrae,40
Females,Public Administration and Safety,Gowanbrae,44
Males,Education and Training,Gowanbrae,29
Females,Education and Training,Gowanbrae,102
Males,Health Care and Social Assistance,Gowanbrae,29
Females,Health Care and Social Assistance,Gowanbrae,127
Males,Arts and Recreation Services,Gowanbrae,23
Females,Arts and Recreation Services,Gowanbrae,14
Males,Other Services,Gowanbrae,23
Females,Other Services,Gowanbrae,33
Males,Inadequately described and not stated,Gowanbrae,28
Females,Inadequately described and not stated,Gowanbrae,17
Males,"Agriculture, Forestry and Fishing",Hadfield,4
Females,"Agriculture, Forestry and Fishing",Hadfield,0
Males,Mining,Hadfield,3
Females,Mining,Hadfield,0
Males,Manufacturing,Hadfield,116
Females,Manufacturing,Hadfield,60
Males,"Electricity, Gas, Water and Waste Services",Hadfield,12
Females,"Electricity, Gas, Water and Waste Services",Hadfield,5
Males,Construction,Hadfield,241
Females,Construction,Hadfield,21
Males,Wholesale Trade,Hadfield,35
Females,Wholesale Trade,Hadfield,23
Males,Retail Trade,Hadfield,86
Females,Retail Trade,Hadfield,128
Males,Accommodation and Food Services,Hadfield,61
Females,Accommodation and Food Services,Hadfield,47
Males,"Transport, Postal and Warehousing",Hadfield,128
Females,"Transport, Postal and Warehousing",Hadfield,24
Males,Information Media and Telecommunications,Hadfield,20
Females,Information Media and Telecommunications,Hadfield,9
Males,Financial and Insurance Services,Hadfield,32
Females,Financial and Insurance Services,Hadfield,39
Males,"Rental, Hiring and Real Estate Services",Hadfield,14
Females,"Rental, Hiring and Real Estate Services",Hadfield,15
Males,"Professional, Scientific and Technical Services",Hadfield,73
Females,"Professional, Scientific and Technical Services",Hadfield,62
Males,Administrative and Support Services,Hadfield,33
Females,Administrative and Support Services,Hadfield,31
Males,Public Administration and Safety,Hadfield,72
Females,Public Administration and Safety,Hadfield,71
Males,Education and Training,Hadfield,34
Females,Education and Training,Hadfield,138
Males,Health Care and Social Assistance,Hadfield,54
Females,Health Care and Social Assistance,Hadfield,194
Males,Arts and Recreation Services,Hadfield,21
Females,Arts and Recreation Services,Hadfield,14
Males,Other Services,Hadfield,71
Females,Other Services,Hadfield,43
Males,Inadequately described and not stated,Hadfield,70
Females,Inadequately described and not stated,Hadfield,35
Males,"Agriculture, Forestry and Fishing",Sunbury,32
Females,"Agriculture, Forestry and Fishing",Sunbury,22
Males,Mining,Sunbury,14
Females,Mining,Sunbury,5
Males,Manufacturing,Sunbury,309
Females,Manufacturing,Sunbury,114
Males,"Electricity, Gas, Water and Waste Services",Sunbury,61
Females,"Electricity, Gas, Water and Waste Services",Sunbury,21
Males,Construction,Sunbury,653
Females,Construction,Sunbury,85
Males,Wholesale Trade,Sunbury,140
Females,Wholesale Trade,Sunbury,61
Males,Retail Trade,Sunbury,269
Females,Retail Trade,Sunbury,404
Males,Accommodation and Food Services,Sunbury,122
Females,Accommodation and Food Services,Sunbury,228
Males,"Transport, Postal and Warehousing",Sunbury,438
Females,"Transport, Postal and Warehousing",Sunbury,180
Males,Information Media and Telecommunications,Sunbury,52
Females,Information Media and Telecommunications,Sunbury,35
Males,Financial and Insurance Services,Sunbury,88
Females,Financial and Insurance Services,Sunbury,106
Males,"Rental, Hiring and Real Estate Services",Sunbury,31
Females,"Rental, Hiring and Real Estate Services",Sunbury,48
Males,"Professional, Scientific and Technical Services",Sunbury,150
Females,"Professional, Scientific and Technical Services",Sunbury,164
Males,Administrative and Support Services,Sunbury,93
Females,Administrative and Support Services,Sunbury,107
Males,Public Administration and Safety,Sunbury,222
Females,Public Administration and Safety,Sunbury,227
Males,Education and Training,Sunbury,111
Females,Education and Training,Sunbury,427
Males,Health Care and Social Assistance,Sunbury,90
Females,Health Care and Social Assistance,Sunbury,582
Males,Arts and Recreation Services,Sunbury,54
Females,Arts and Recreation Services,Sunbury,60
Males,Other Services,Sunbury,156
Females,Other Services,Sunbury,92
Males,Inadequately described and not stated,Sunbury,151
Females,Inadequately described and not stated,Sunbury,90
Males,"Agriculture, Forestry and Fishing",Sunbury - South,55
Females,"Agriculture, Forestry and Fishing",Sunbury - South,24
Males,Mining,Sunbury - South,37
Females,Mining,Sunbury - South,8
Males,Manufacturing,Sunbury - South,662
Females,Manufacturing,Sunbury - South,223
Males,"Electricity, Gas, Water and Waste Services",Sunbury - South,95
Females,"Electricity, Gas, Water and Waste Services",Sunbury - South,48
Males,Construction,Sunbury - South,1301
Females,Construction,Sunbury - South,155
Males,Wholesale Trade,Sunbury - South,250
Females,Wholesale Trade,Sunbury - South,141
Males,Retail Trade,Sunbury - South,512
Females,Retail Trade,Sunbury - South,843
Males,Accommodation and Food Services,Sunbury - South,348
Females,Accommodation and Food Services,Sunbury - South,437
Males,"Transport, Postal and Warehousing",Sunbury - South,1051
Females,"Transport, Postal and Warehousing",Sunbury - South,397
Males,Information Media and Telecommunications,Sunbury - South,99
Females,Information Media and Telecommunications,Sunbury - South,70
Males,Financial and Insurance Services,Sunbury - South,162
Females,Financial and Insurance Services,Sunbury - South,284
Males,"Rental, Hiring and Real Estate Services",Sunbury - South,105
Females,"Rental, Hiring and Real Estate Services",Sunbury - South,110
Males,"Professional, Scientific and Technical Services",Sunbury - South,321
Females,"Professional, Scientific and Technical Services",Sunbury - South,340
Males,Administrative and Support Services,Sunbury - South,174
Females,Administrative and Support Services,Sunbury - South,224
Males,Public Administration and Safety,Sunbury - South,468
Females,Public Administration and Safety,Sunbury - South,478
Males,Education and Training,Sunbury - South,263
Females,Education and Training,Sunbury - South,805
Males,Health Care and Social Assistance,Sunbury - South,194
Females,Health Care and Social Assistance,Sunbury - South,1237
Males,Arts and Recreation Services,Sunbury - South,134
Females,Arts and Recreation Services,Sunbury - South,113
Males,Other Services,Sunbury - South,297
Females,Other Services,Sunbury - South,254
Males,Inadequately described and not stated,Sunbury - South,318
Females,Inadequately described and not stated,Sunbury - South,202
Males,"Agriculture, Forestry and Fishing",Broadmeadows,13
Females,"Agriculture, Forestry and Fishing",Broadmeadows,6
Males,Mining,Broadmeadows,4
Females,Mining,Broadmeadows,0
Males,Manufacturing,Broadmeadows,296
Females,Manufacturing,Broadmeadows,89
Males,"Electricity, Gas, Water and Waste Services",Broadmeadows,33
Females,"Electricity, Gas, Water and Waste Services",Broadmeadows,7
